# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\kayal\Downloads\final_project\realpart2\output_files\fpga1_top_pins.csv
# Generated on: Wed Dec 10 17:22:40 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
GPIO_LINK[9],Output,PIN_AE15,4,B4_N2,PIN_AE15,2.5 V,,,,,
GPIO_LINK[8],Output,PIN_AD15,4,B4_N2,PIN_AD15,2.5 V,,,,,
GPIO_LINK[7],Output,PIN_AE16,4,B4_N2,PIN_AE16,2.5 V,,,,,
GPIO_LINK[6],Output,PIN_AD21,4,B4_N0,PIN_AD21,2.5 V,,,,,
GPIO_LINK[5],Output,PIN_Y16,4,B4_N0,PIN_Y16,2.5 V,,,,,
GPIO_LINK[4],Output,PIN_AC21,4,B4_N0,PIN_AC21,2.5 V,,,,,
GPIO_LINK[3],Output,PIN_Y17,4,B4_N0,PIN_Y17,2.5 V,,,,,
GPIO_LINK[2],Output,PIN_AB21,4,B4_N0,PIN_AB21,2.5 V,,,,,
GPIO_LINK[1],Output,PIN_AC15,4,B4_N2,PIN_AC15,2.5 V,,,,,
GPIO_LINK[0],Output,PIN_AB22,4,B4_N0,PIN_AB22,2.5 V,,,,,
SW[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
SW[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
SW[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
SW[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
SW[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
SW[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
SW[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
SW[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
SW[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
SW[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
LEDR[0],Unknown,PIN_G19,7,B7_N2,,,,,,,
LEDR[1],Unknown,PIN_F19,7,B7_N0,,,,,,,
LEDR[2],Unknown,PIN_E19,7,B7_N0,,,,,,,
LEDR[3],Unknown,PIN_F21,7,B7_N0,,,,,,,
LEDR[4],Unknown,PIN_F18,7,B7_N1,,,,,,,
LEDR[5],Unknown,PIN_E18,7,B7_N1,,,,,,,
LEDR[6],Unknown,PIN_J19,7,B7_N2,,,,,,,
LEDR[7],Unknown,PIN_H19,7,B7_N2,,,,,,,
LEDR[8],Unknown,PIN_J17,7,B7_N2,,,,,,,
LEDR[9],Unknown,PIN_G17,7,B7_N1,,,,,,,
